ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
MU,"Micron Technology, Inc.",Technology,Semiconductors,405.20001220703125,1,1,8.56,8.56,⭐ Excelente,100.0,19,19,6.67,9.14,9.96,8.9,7.33,9.89,9.85,2.49,1.27,6.93,8.73,9.72,9.85,7.31,9.93,9.59,10.0,9.94,9.94,9.27,9.31,9.38,7.66
INCY,Incyte Corporation,Healthcare,Biotechnology,94.69999694824219,2,2,7.89,7.89,✅ Buena,100.0,19,19,7.24,7.8,8.82,7.82,8.5,7.96,9.72,4.17,3.87,7.93,7.87,8.99,8.47,6.64,7.07,6.39,9.29,8.49,8.67,9.89,9.51,9.76,2.11
NVDA,NVIDIA Corporation,Technology,Semiconductors,181.69000244140625,3,3,7.79,7.79,✅ Buena,100.0,19,19,3.48,9.64,9.56,9.74,2.09,5.59,9.08,0.36,0.09,0.62,9.68,9.98,9.93,8.64,9.89,9.53,9.85,9.4,9.42,9.57,9.64,9.81,9.98
FSLR,"First Solar, Inc.",Technology,Solar,199.91000366210938,4,4,7.6,7.6,✅ Buena,100.0,19,19,7.87,6.97,7.69,7.85,8.71,9.36,9.48,6.54,3.42,8.64,5.87,7.08,9.05,4.17,8.24,8.22,7.02,7.96,8.17,9.59,9.01,9.31,3.42
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,32.935001373291016,5,5,7.32,7.56,✅ Buena,89.5,17,19,8.86,8.05,6.11,6.82,8.77,9.35,9.78,9.78,6.62,8.19,8.41,8.88,6.88,8.82,7.87,6.88,2.13,8.36,8.14,9.21,6.56,8.15,3.16
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,378.489990234375,5,6,7.32,7.32,✅ Buena,100.0,19,19,4.13,9.04,8.74,8.17,5.7,3.29,7.46,2.17,0.95,3.72,8.3,9.21,9.83,8.39,9.61,9.35,8.33,8.97,8.96,8.3,6.45,7.9,9.96
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,611.3577270507812,7,8,7.21,7.21,✅ Buena,100.0,19,19,4.64,8.95,7.14,8.96,4.45,4.99,8.43,2.21,1.35,5.35,7.96,9.42,9.12,9.48,9.25,9.03,9.14,6.04,6.09,7.85,8.95,9.53,9.85
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,211.0050048828125,8,9,7.18,7.18,✅ Buena,100.0,19,19,9.16,6.21,7.42,5.13,9.96,9.31,9.59,7.21,8.84,9.83,8.67,6.28,6.34,2.71,7.74,3.38,3.58,9.5,9.48,8.69,0.3,0.77,9.16
ADBE,Adobe Inc.,Technology,Software - Application,244.08999633789062,9,10,7.09,7.09,✅ Buena,100.0,19,19,6.97,9.23,6.1,5.83,8.69,8.92,9.16,1.89,3.48,8.09,9.31,9.61,9.08,9.76,9.0,7.98,7.3,6.14,4.65,6.58,2.36,4.79,9.23
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,122.51000213623047,10,11,7.08,7.08,✅ Buena,100.0,19,19,5.44,7.28,8.25,7.85,8.82,5.83,0.47,3.91,6.13,9.07,7.14,8.19,7.68,3.87,8.73,8.69,9.01,8.18,7.46,7.48,9.55,9.66,5.16
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,182.75,11,7,7.04,7.27,✅ Buena,89.5,17,19,6.46,8.51,8.24,5.71,4.13,6.37,9.98,9.4,2.5,5.74,7.93,9.76,7.57,9.72,8.22,7.85,8.22,8.26,8.24,1.17,6.11,7.96,8.95
PTC,PTC Inc.,Technology,Software - Application,145.52000427246094,12,13,6.98,6.98,✅ Buena,100.0,19,19,4.76,8.34,9.29,5.73,6.49,4.37,6.69,3.48,2.13,4.08,6.93,8.47,8.88,9.63,8.54,8.43,8.87,9.51,9.51,8.06,5.56,6.21,2.73
HIG,"The Hartford Insurance Group, I",Financial Services,Insurance - Diversified,137.74000549316406,13,12,6.91,7.02,✅ Buena,94.7,18,19,8.11,4.88,6.86,8.27,9.55,8.82,6.27,6.84,8.15,9.31,6.71,2.95,5.77,3.7,5.7,3.36,4.35,8.24,8.19,8.9,7.89,7.19,8.79
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,61.63999938964844,14,14,6.84,6.84,✅ Buena,100.0,19,19,8.3,4.83,5.88,8.35,8.9,8.56,8.11,7.1,8.06,9.12,5.33,8.09,3.7,3.01,3.7,3.21,3.36,7.35,7.1,9.53,8.47,8.96,6.34
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,106.93000030517578,15,16,6.79,6.79,✅ Buena,100.0,19,19,6.51,8.06,5.16,7.64,8.39,6.36,7.03,2.82,5.85,8.5,8.71,9.7,7.44,7.18,8.07,5.68,4.59,6.09,4.74,9.33,9.27,9.33,2.64
NEM,Newmont Corporation,Basic Materials,Gold,118.60359954833984,16,17,6.76,6.76,✅ Buena,100.0,19,19,5.25,8.43,5.09,9.04,7.4,7.94,1.93,4.02,2.26,8.56,6.82,8.73,9.23,7.96,9.85,9.5,8.75,3.21,3.02,9.18,8.69,9.03,9.25
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,140.55499267578125,16,17,6.76,6.76,✅ Buena,100.0,19,19,5.79,8.93,5.96,6.48,6.71,6.32,9.64,2.06,2.19,6.22,8.82,8.79,8.95,9.27,8.92,8.97,3.25,7.4,7.42,2.97,6.99,7.87,9.07
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,90.91000366210938,16,17,6.76,6.76,✅ Buena,100.0,19,19,6.77,7.54,4.23,8.94,9.63,9.12,0.24,7.35,6.09,9.51,6.24,8.21,8.86,6.34,8.19,7.96,4.05,4.39,4.26,9.74,9.89,9.94,6.24
INTU,Intuit Inc.,Technology,Software - Application,404.67498779296875,19,22,6.74,6.74,✅ Buena,100.0,19,19,4.68,7.55,8.55,6.55,4.41,6.02,7.96,2.77,2.3,2.41,7.16,8.15,7.87,9.42,4.45,6.95,8.37,8.67,8.6,8.04,6.06,2.22,8.73
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,233.24000549316406,19,22,6.74,6.74,✅ Buena,100.0,19,19,4.44,8.23,6.7,8.36,5.96,3.68,6.9,3.05,2.0,3.7,7.44,9.16,8.65,7.7,8.71,7.83,6.95,6.49,6.65,9.31,9.46,9.21,5.42
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,315.1700134277344,21,24,6.72,6.72,✅ Buena,100.0,19,19,2.41,8.56,8.11,9.13,3.78,2.15,3.42,1.81,0.9,1.31,8.41,9.32,9.41,7.5,8.1,7.8,8.49,7.86,7.97,9.21,8.23,9.11,9.93
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,33.02000045776367,22,15,6.71,6.82,✅ Buena,94.7,18,19,6.12,7.06,7.96,6.14,8.54,7.85,0.63,7.72,4.06,9.5,3.7,6.49,8.39,8.9,8.47,9.78,9.11,7.18,7.53,8.58,4.65,6.69,4.26
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,317.7200012207031,23,26,6.7,6.7,✅ Buena,100.0,19,19,2.36,8.56,8.11,9.13,3.7,2.11,3.4,1.74,0.88,1.23,8.41,9.32,9.41,7.5,8.1,7.8,8.49,7.86,7.97,9.21,8.23,9.11,9.93
WDC,Western Digital Corporation,Technology,Computer Hardware,337.760009765625,23,26,6.7,6.7,✅ Buena,100.0,19,19,3.17,7.87,9.52,7.02,3.08,1.91,9.35,0.92,0.64,0.67,8.86,7.75,9.59,4.49,8.13,7.07,9.18,9.7,9.7,6.0,6.73,7.35,8.26
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,46.10499954223633,25,28,6.69,6.69,✅ Buena,100.0,19,19,8.86,5.45,6.26,5.5,9.78,9.44,9.1,6.77,8.24,9.46,7.46,4.28,6.5,4.3,4.18,3.7,2.81,8.34,7.87,6.32,5.79,0.8,7.96
AVGO,Broadcom Inc.,Technology,Semiconductors,348.1499938964844,25,28,6.69,6.69,✅ Buena,100.0,19,19,2.8,8.88,8.51,7.5,0.62,3.55,9.2,0.64,0.04,0.28,8.21,8.22,9.7,9.12,9.48,9.23,9.37,7.91,8.21,4.06,8.09,8.9,9.91
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,187.0500030517578,27,30,6.66,6.66,✅ Buena,100.0,19,19,8.88,4.96,7.67,4.21,9.83,9.53,7.38,8.02,9.16,9.55,6.62,7.35,2.92,5.01,2.5,2.49,6.33,8.47,8.3,5.68,3.35,5.89,1.96
EQT,EQT Corporation,Energy,Oil & Gas E&P,59.369998931884766,28,33,6.65,6.65,✅ Buena,100.0,19,19,5.6,6.72,9.05,5.13,7.57,7.23,0.41,8.07,3.03,8.92,2.36,5.46,8.43,9.25,9.78,9.93,9.24,8.88,9.02,8.45,1.57,3.25,6.22
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,58.67499923706055,29,21,6.64,6.75,✅ Buena,94.7,18,19,6.3,7.94,7.15,5.46,7.91,8.79,3.79,2.39,6.34,8.95,8.79,8.13,6.17,8.79,7.57,8.07,1.92,9.96,9.96,0.88,5.7,7.19,9.35
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,162.13999938964844,30,30,6.55,6.66,✅ Buena,94.7,18,19,6.28,5.33,9.08,5.88,9.5,4.34,1.8,7.96,6.95,9.16,5.55,4.3,7.33,1.98,7.46,5.7,8.97,9.12,9.16,9.64,1.05,2.54,8.86
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,98.23999786376953,30,30,6.55,6.66,✅ Buena,94.7,18,19,8.24,5.9,7.44,4.28,9.79,8.65,6.27,8.17,7.44,9.53,6.37,3.83,7.98,3.59,7.76,6.3,5.99,8.28,8.14,9.38,3.9,2.34,0.11
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,55.29499816894531,32,34,6.54,6.54,✅ Buena,100.0,19,19,5.82,7.63,8.17,4.24,5.83,6.19,8.35,0.47,5.94,7.83,9.5,7.66,4.5,9.38,6.69,7.48,9.21,7.8,7.36,0.21,4.41,7.23,6.49
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology,441.4750061035156,33,35,6.52,6.52,✅ Buena,100.0,19,19,2.83,8.1,7.46,8.9,3.91,3.21,3.5,2.62,0.92,1.81,6.9,8.75,9.44,6.71,9.1,8.21,6.46,8.0,8.0,9.44,9.33,9.4,7.42
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,75.43000030517578,34,36,6.51,6.51,✅ Buena,100.0,19,19,1.81,8.0,8.85,8.76,1.76,0.99,3.61,1.85,1.03,1.05,7.59,9.55,8.13,6.93,8.04,7.18,8.42,9.07,9.07,9.94,9.61,9.74,5.72
DELL,Dell Technologies Inc.,Technology,Computer Hardware,185.46009826660156,34,24,6.51,6.72,✅ Buena,89.5,17,19,7.97,4.19,9.07,5.08,6.52,7.2,9.02,9.85,8.52,6.69,8.05,6.02,1.91,1.59,1.93,1.66,9.63,8.92,8.62,5.56,2.32,2.95,8.97
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,244.0500030517578,36,37,6.49,6.49,🔶 Neutral,100.0,19,19,1.75,8.7,8.48,8.33,1.07,0.67,6.37,0.3,0.24,0.43,9.44,9.78,9.16,6.21,8.56,7.64,8.99,8.15,8.27,7.63,8.65,8.71,8.54
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,143.2100067138672,37,39,6.47,6.47,🔶 Neutral,100.0,19,19,1.51,8.79,7.87,9.25,1.1,0.8,4.58,1.05,0.11,0.37,8.05,9.12,9.81,8.06,9.31,8.5,9.34,7.0,7.16,9.96,9.42,9.5,8.04
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,317.6700134277344,38,40,6.46,6.46,🔶 Neutral,100.0,19,19,8.55,2.44,7.53,7.01,9.16,8.04,7.79,7.91,9.59,9.29,4.06,3.7,1.2,2.04,0.47,0.93,6.46,8.13,8.07,5.29,6.95,8.36,8.07
EIX,Edison International,Utilities,Utilities - Regulated Electric,74.0250015258789,38,40,6.46,6.46,🔶 Neutral,100.0,19,19,7.01,6.88,9.7,1.05,9.91,7.74,1.29,7.78,7.94,8.65,7.31,3.07,8.17,7.21,8.82,8.39,9.42,9.85,9.85,1.14,1.35,0.9,0.79
CEPU,Central Puerto S.A.,Utilities,Utilities - Regulated Electric,16.760000228881836,40,17,6.44,6.76,🔶 Neutral,84.2,16,19,6.83,5.96,5.84,8.83,9.59,8.45,2.89,1.18,9.87,9.93,4.24,5.38,9.27,3.31,6.37,8.32,7.08,4.62,5.8,9.03,7.76,8.88,9.63
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,19.059999465942383,40,42,6.44,6.44,🔶 Neutral,100.0,19,19,7.54,7.28,7.88,1.93,7.14,9.66,9.55,3.25,6.32,8.32,7.62,6.71,4.62,9.29,8.8,8.37,9.2,7.1,7.25,0.67,0.56,1.4,5.21
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,145.9091033935547,40,42,6.44,6.44,🔶 Neutral,100.0,19,19,0.4,8.59,9.89,8.5,0.07,0.07,1.74,0.15,0.0,0.02,7.5,8.6,9.66,9.51,9.16,7.2,9.83,9.91,9.93,9.79,9.93,9.96,4.34
